stop_id,stop_name,stop_lat,stop_lon,stop_timezone
2348,"Strada Provinciale 119, 10 - San Marco Argentano",39.559808,16.134353,Europe/Rome
2347,Strada Provinciale 94 - San Marco Argentano,39.568048,16.138649,Europe/Rome
2368,"Strada Statale  283, 15 - San Marco Argentano",39.570840,16.139430,Europe/Rome
2352,"Strada Statale  283, 15 - San Marco Argentano",39.572732,16.142478,Europe/Rome
2345,Strada Provinciale 270 - San Marco Argentano,39.576417,16.150397,Europe/Rome
2354,Strada Provinciale 270 - San Marco Argentano,39.579020,16.162591,Europe/Rome
2344,Strada Provinciale 119 - San Marco Argentano,39.582717,16.172984,Europe/Rome
2350,"Strada Provinciale 270, 34 - San Marco Argentano",39.584437,16.177981,Europe/Rome
2323,"Contrada Cimino, 115 - San Marco Argentano",39.585810,16.184753,Europe/Rome
2342,"Contrada Cimino, 119 - San Marco Argentano",39.583941,16.188124,Europe/Rome
2241,Via Gjitonia Catundi - Cerzeto,39.515993,16.124552,Europe/Rome
2341,"Via Progresso, 16-40 - Cerzeto",39.510556,16.120014,Europe/Rome
2340,"Via Forge, 3 - Cerzeto",39.507087,16.115805,Europe/Rome
2357,"Via Corso Nuovo, 179 - Cerzeto",39.502534,16.112833,Europe/Rome
2331,"Via Variante Alta, 6 - Cerzeto",39.498887,16.111347,Europe/Rome
2371,"Contrada Pezze, 15 - Torano Castello",39.499560,16.133536,Europe/Rome
2373,"Piazza San Sebastiano, 17 - Torano Castello",39.505071,16.147485,Europe/Rome
2333,"Viale San Marco, 51 - Torano Castello",39.503934,16.159241,Europe/Rome
2370,"Contrada Pirrelli, 25 - Torano Castello",39.501205,16.167672,Europe/Rome
2372,"Contrada Casino, 16 - Torano Castello",39.497069,16.178907,Europe/Rome
2328,"Contrada Casino, 14 - Torano Castello",39.494096,16.182605,Europe/Rome
2364,"Viale Magna Grecia, 37-61 - Torano Castello",39.494574,16.210166,Europe/Rome
2126,"Contrada Casino, 14 - Torano Castello",39.494332,16.182596,Europe/Rome
2285,"Contrada Casino, 16 - Torano Castello",39.497299,16.178959,Europe/Rome
2283,"Contrada Pirrelli, 25 - Torano Castello",39.501279,16.167583,Europe/Rome
2134,"Viale San Marco, 142 - Torano Castello",39.503914,16.159189,Europe/Rome
2286,"Via R.Curti, 1 - Torano Castello",39.505103,16.147698,Europe/Rome
2284,"Contrada Pezze, 11A - Torano Castello",39.499428,16.133334,Europe/Rome
2131,"Contrada Sant'Atanasio, 2 - Cerzeto",39.495866,16.111829,Europe/Rome
2252,"Via Corso Nuovo, 23 - Cerzeto",39.499512,16.113369,Europe/Rome
2173,"Via Forge, 3 - Cerzeto",39.507088,16.115929,Europe/Rome
2174,"Via Progresso, 16-40 - Cerzeto",39.510451,16.119914,Europe/Rome
2273,"Via Guglielmo Marconi, 83 - Rende",39.353520,16.237741,Europe/Rome
2375,"Via Guglielmo Marconi, 82 - Rende",39.353327,16.236058,Europe/Rome
